fra	nnb
Nous lisons tous deux la bible jour et nuit, mais vous lisez noir là où je lis blanc.	Thukasoma ithwe babiri ekitabhu omokiro nomwithungi, alhiwe ukasoma ohonyiryasoma musohe.
Beth est une fille bizarre qui aime les serpents.	Beth nimumbesa oyullhi kityakitya oyuwanzire esyonzoka.
Je n'arrive jamais à avoir Nina au bout du fil.	Sinyithathoka eribana Nina yoko simu.
Je t'aime trop, mon amour, ma chérie !	Nyikwanzire kundu, mwanzi waghe, mukali waghe !
La police n'a trouvé aucun indice.	 Epolisi siyithasunga kiminyikalo kyosi kyosi.
Le ministère de la Santé met en garde.	Omulhembya oghobunyaghasa amahiraheange.
Brad Pitt est un acteur.	Brad Pitt nimusathi.
Dites à ces gens de reculer, afin que l'hélicoptère puisse se poser.	Ubwire abanduaba uthi basube enyuma, elisu imoryayitheka.
Nous savons désormais que le témoignage qu'il donna était contraint.	Thunashi ngoko ebiobabugha mobamukasire.
Elle répond à toutes les demandes de renseignements du lundi matin au mercredi après-midi.	Akasubay'oko mabulio wosi wosi okwil'omothuthu ye kiro kye nyámwingira okwihika omwithunji rye lingílingi.
Hey, nous n'avons pas terminé.	Ya, sithuli twa bugha.
Nous disposons d'un mandat pour fouiller votre propriété.	Thunawithe oko nzakano eyika kwimanira erisosothia embimbano yawe.
Mener les poules pisser et les ramener sans boire!	Eritwal'esyongoko sisubale nerisi retha butsiri nywisyasyo !
Elle n'a pas voulu qu'il meure.	Syathet'anz'aka hola.
Si chaque génération meurt et laisse des fantômes, le monde finira par en être surpeuplé.	Obulhi mughulu ngwaka hola nerisigha ebirimu, ekihugho kyanguswire omwabandu.
Travaille bien, car sinon tu devras recommencer ce cours l'année prochaine.	Ukolhe ndeke, bithe bithya eghukithasyasubiriria omo makangiriria oyo okokirimo ekikasa.
L'amour est comme l'oxygène.	Olwanzo kolune ngo muka.
Un jour donc, la timide Augustine, armée d’un courage surnaturel, monta en voiture, à deux heures après midi, pour essayer de pénétrer jusqu’au boudoir de la célèbre coquette.	Kiro kighuma, omukuthu Augustine, inyanenomuhwa owalabirye katheho, mwasambir'omo fwatiri, oko saha ibiri enyuma esyerithunzi, omwilhenga erihik'omobiseng'ebyerilhiramo ebyerikothi.
Un certain M. West a appelé durant votre absence.	Omundu nga M. West mwakabirikir'isighulhiho.
Les affaires appellent mon père à Sydney deux fois par an.	Emyatsi yikabirikira thatha waghe Sydney kabiri oko mwaka.
C'est un mec génial.	Nimulume oyutsemesirie.
L'enquête a conclu que l'agent de police n'avait rien fait de répréhensible.	Oburorotsyo bwamakanzia ngok'omupolishi syathabya kwiloloryosiryosi.
Si tu ne petit-déjeunes pas, tu auras probablement faim au cours de la matinée et tu ne seras pas aussi efficace au travail que tu pourrais l'être.	Uthithalhya ebyethuthuthu, ukandikw'enzala omonzakyanzakya nasiwendikol'omubiri ghondeke.
Hé ! de quoi tu parles ?	Hé ! ukabugha'aho hoki ?
À trop vouloir expliquer l'inexplicable, on finit par excuser l'inexcusable.	Ukasonda erikanya okobithe byanga thokekana, omundu akasala  aghanyira nebithe byangaghanyirwa.
La course n'était pas égale, car le gagnant avait une avance au départ de dix secondes.	Esyondibitho sisilwe sighuma, busana oyulyasing'anabya embere yohake  omo hithond'ikumi.
"Marie dit, pensive : « Tu es totalement passé à côté d'un ""détail"" d'une certaine importance, Tom, à savoir : ma grossesse ! »"	"Mari'amabugha, akalhengekania : « moghukalab'eluthambi oko bulhi ""okwighana"" eryendundi, Tom, eriminya : obukule bwaghe ! »"
Prenez dans le frigo ce que vous voulez.	Wimay'omokiholokyo mwekyo wanzire.
Les services secrets de ce pays raciste et colonialistes ont mené d'innombrables assassinats et opérations terroristes pour déstabiliser les pays de la région.	Emibiri eye kumbo eyekihugho kino ekiri mwakasololo nakapundio  mokikakol'obwithi bunzi omobyobwithi omu kolhyakolhy'ebihugho  ebyomo kithatha.
La maîtrise d'une seconde langue retarde certains problèmes de santé mentale pendant au moins cinq ans.	Eriminya omubughe owakabiri rikatselhewesay'emisango mighuma  hakuhi omo birimo bithanu.
Aucun colorant, agent de conservation ou arôme artificiel.	Sihali ekileth'erangi kuts'obusi.
Le métier de contrôleur aérien est un métier qui procure énormément de stress.	Omubiri oweritsopolia erihunga nimubir'owakalhether'obuba.
Si Thomas découvre que je t'ai dit ceci, il me tuera.	YoThomas angaminyire ko mungakubwira eki, inyakandi nyitha.
Ne lâchez pas ! Tenez bon !	Sighuleke ! Uhambirire !
Aucun homme n'a reçu de la nature le droit de commander aux autres. La liberté est un présent du ciel.	Sihalhi nomundu nomughuma oyulyaseng'ehamulhi eyeri kunang'abandu. Obwiranda ninzuko eyolubula.
Quand la vie te présente mille raisons de pleurer, montre-lui que tu as mille raisons pour sourire.	Omughulu eribaho rikakuh'erisingana hakuhi kighony'erye rilhira, ukangayerio koghuwith'erisingana hakuhi kighony'ekye riseka.
Au début, dans la mythologie grecque, l'histoire de l'Europe était une histoire d'amour.	Okonzuko, omobihaniriro ebyabagriki, ehistoria eye bulaya yabya  eyolwanzo.
Il vaudrait mieux envoyer chercher de l'aide.	Asondire inyathuma eriyasondya obuwathikya.
Vous avez gagné son coeur.	Wabiri singan'okomuthima  wiwe.
Attends-moi, je reviens tout de suite.	Ndinde, ngasa hathia hathia.
Les vampires vivent éternellement.	Abaholhi bakabia ho keranakera.
Kounosuke Sakazaki fait partie du groupe « The Alfee ».	Kounosuke Sakazaki nimughuma womokipya « The Alfee ».
Si jamais vous me touchez encore, je vous tuerai.	Wamathasyandulako, ingandikwitha.
Mettez vos bottes en caoutchouc, sinon vous aurez les pieds mouillés !	Mumbalhe ebiryathu byenyu ebyakaghutsu, bithebithya imukandi tsapa!
Il semblerait que notre planète connaisse une période de réchauffement climatique.	Alhinga ekihugho kyethu kyabiribya mwekihuhania.
C'est tellement cool !	Kyowene kutsibu !
Quelle foutue guimbarde !	Efwatiri ryamuhanda wahi !
Elle m'a offert un album comme cadeau d'anniversaire.	Mwakamba ebihembo eyekikabikebisasamira mokiro kyomubukyo weributhwa ryaghe.
Les jeunes mariés sortent juste de l'église.	 Abalhungabahiaka mobane mulw'omokisomo.
C'est l'amour du travail qui a fait de Jack ce qu'il est.	Lolwanzo lomubiri lolulhyaleka Jack inabya ngok'halhi.
Je crois qu'il est improbable que des extraterrestres comme ceux que nous voyons dans les films aient jamais visité notre planète.	Ngalhengekanaya ngoko abalhi omokindi kihugho ngabothukalangira  sibalhi bathahik'oko kihugho kyethu.
Je sors juste une minute.	Ngasa lhinda hake.
Énée, après avoir équipé une flotte de vingt vaisseaux construits du bois du mont Ida, près de la ville d'Antandre, s'embarque avec les compagnons de sa fuite, et va chercher quelque pays où il puisse établir une colonie.	Enée, erinyuma syeribitheghekania eriath'owe mihulhi makumi abiri  awakokothiri'omomuthi owokokithwa Ida,  ahakuhi nomuyi owe  Antandre, akaghendanwanyi biwe omondibitho siwe, neriyarondy'ebihugho bighuma bighuma eyakaya hand'obuthabalhi obweri pundia.
Ça m'énerve d'avoir laissé passer l'occasion de la rencontrer.	Kyamanyihithani'eribalhi'akabanga'kerisungananaye.
La diligence est prête de repartir.	Eri hagnira rika takeri ghenda.
M. Spencer travaille dans un magasin.	M. Spencer akakoler'omo magasini.
Papa, voyons si tu peux soutenir mon regard plus longtemps que moi.	Thata, thulhebaye ngowangana hirikir'erilhebya ryaghe kulab'inze.
Enzo emporte son ours Teddy partout où il va.	Enzo amahek'esoro yiwe yikahulawamo Teddy ahosi oho akaya.
La boîte contient 20 unités.	Ekisanduku kirim'obutsibira makumi abiri.
""" Reconnais à mon sort les célestes décrets. / C'en est fait ; du destin la volonté jalouse / ne t'a point pour compagne accordé ton épouse. """	"""Minya okomuherio wagh'emithondeker'eyo mombyani. / Byanabere; eritsema, erisonda, eritsuro / sibyangakukwama eribya ibyangabya byamukalhi wawe. """
En matière de chauffage il existe une multitude de solutions : bois, solaire, gaz, électricité...	Ekobilhebiry'erihuhya, alhi milhondo minene : esyongwi, eruiba, ekyuka, amasenyerezi…
Alors, dans ma furie, / je me voue à la mort... Que m'importait la vie ? / Quel espoir me restait dans ces moments d'effroi ?	Nerio, omo bubuyirire, / ngayitheka omoluholo... Neribiaho ringwithire ndundi. / Halhi eriyeketheryahi riryabya rinyisighalhire omo ndambi esyobuba ?
La nuit était brumeuse, et un mystérieux rayon de lune essayait d’en percer les ténèbres.	Ekiro kyabya mwekilumbi, nekithikothiko ekyo musakal'anaby'akayikasa  erithulathula.
Y a-t-il quelqu'un ici, dans la classe, qui a entendu parler de Norman Finkelstein ?	Hanohan'omundu yomo kiyirokino, oyulhyowa bakabugh'oko Norman  Finkelstein ?
Tu es sure de ne rien vouloir manger ?	Unayilhighir'erithendiria kindu ?
Le terrorisme est le plus important facteur de division d'un pays et de création de régions autonomes.	Omwithi ninduyi ngulu eyo mughaboghab'owekihugho nowerihiraho  ebithatha esyongulu.
Pouvez-vous me mettre un exemplaire de ce produit de côté ? Je viendrai le chercher après-demain en fin de matinée.	Wangana mbwira ekyerilheberyak'oko bighum'ebyoko luhande olu ? Ngandisyasya murondya omunzakya okondulhi eyethuthuthu.
Il s'occupe du bébé.	Akasulubirira olumekeke.
Y vont vous arracher l'foie... me bouffer en croquettes et suçoter vos succulentes balloches ballottantes !	Y akandi kulisyak'obú̧kiņdi...inyaniriangehitsungu neri humat'eribunda riaghe !
La langue, qui se mourait, ressuscite en une explosion magnifique de mots retrouvés et nouveaux qu’elle avait oubliés et qu’elle ne connaissait pas.	Omubughe, owakayi holera, akalubuk'omoluhul'olusikir'ebinywa  ebisungire nebihyabihya ebyoibirirawa nebyabya isyasi.
L'amour ne pardonne pas.	Olwanzo silughanyira.
Le clair de lune s'est répandu partout.	Ekyakakala ekyomughenda mokikayitsatsang'ehosi.
Toutes les femmes deviennent comme leurs mères - c'est leur tragédie. Aucun homme ne le fait. C'est la sienne.	Abakalhi bosi bangabyangabo nyinya wabo-nibisandabyabo. Sihalhi mund'ukakolakyo. Nikiwe.
En Angleterre au Moyen Âge, des villes entières jouaient au football lors de certains jours fériés, parfois avec jusqu'à cinq cents joueurs en même temps.	E Angleterre, omughulu wakera, emiyi yosi yabya iyikasatha oko mupira omughulu owebebiro ebithe momibiri, kanzikanzi nabesi hakuhi maghana  awathanu okondambi nguma.
Nous avons aujourd'hui un nouvel élève qui rejoint notre classe.	Thunawithe munabwir'omwigha muhiaka omokiyiro kyethu.
J'obtiens une commission de trois pour cent sur tout ce que je vends.	Ngasung'ekithumwa ekye bisathu okobyosi ebyo ngaghulaya.
Un nouveau moyen de communication fut développé : le chemin de fer.	Enzira nyihiak'eyerighambulhiranamo muya kakibwa : enzira eye byuma.
Il a des idées bizarres.	Awithe amalhengekania matsibu.
Désolé d'être resté sans contact si longtemps.	Namaswek'eribughabingaha isithuthasungana.
Quand je suis en voyage d'affaires avec mes collègues, on rigole beaucoup.	Omughulu nyiri omolughend'olwe miatsi nabenzi baghe, thukaseka  kutsibu.
« Vous n’êtes pas mariés, avec ta copine ? » « Bien sûr que si. » « Ah bon ? Je croyais que non. »	« Simulungire, namukalhi waghu ? » « Kobine. » « Uweghesa ? Indwe ngabugha nyithi mbino iyehe. »
Il est impossible de faire concevoir à un homme naturellement aveugle qu'il ne voit pas.	Akithokeken'eriyira omulume momulheremi akabia isyalhirangira.
« Est-ce que vous me connaissez ? » « Non, je ne vous connais pas. »	« Unanyasi ? » « Iyehe, sindikwashi. »
Les coins de ses lèvres montraient une teinte bleutée qui causait vraiment du souci à l'infirmière.	Esyongond'esye minywa yiwe yabia ika kanzia ebitsangar'ebyabya  bikalheka omuthahwa iniahanziahanzia.
Le cœur du cyclone va frapper le sud de la Floride de plein fouet.	Ekihunga kikandiya yihunzia ekabuno esye Floride kutsibu.
Notre récompense se trouve dans l'effort, et non pas dans le résultat. Un effort total est une victoire complète.	Erihembwa ryethu ririomokaghala, butsir'omobighuma. Akaghala kundu nikinda erihwererere.
Je ne suis pas encore prête à m'engager dans une relation sérieuse.	Sindinayitheghekania eriyithekia omomiatsi eyisikire.
Il a enregistré une victoire en course automobile constamment assurée, la dixième de la saison.	Mwakahek'olusalhi olwesyondibitho esyasibwe, omoluhwetsio olwerikumi.
La fleur est courte, mais la joie qu’elle a donnée une minute n’est pas de ces choses qui ont commencement ou fin.	Eriwanirikuhi, alhiwe obutseme oboririalheth'omo rithondi righuma siryebindu eby'okonzuko kutse okondulhya.
La mode est à l'hygiène, les microbes en mènent de moins en moins large. Et la Société protectrice des animaux qui ne bouge pas !	Ekirilhino nekyasibwe nobuyonzo, emikorobi yikasa hakehake bulhi. Nekithunga eki bika esyonyama sikye satha.
La manière de toucher le piano comme s'il s'agissait d'un clavecin n'est pas étrangère à la tradition classique française.	Omuhand'owerithula oko kyuma ekyehisimo yikabya ngani kisayi sikigheni oko mabindul'obwe kifranza.
Son mari est un membre du clan Oda.	Ibawiwe nimughuma oghomokighanda Oda.
Il te faut te calmer et reprendre tes esprits.	Hakatholheraya uthulhere nerisuby'omuthima ghomonda.
On croirait entendre ta mère.	Abandubakabya ngabakandiowa koyo waghu.
Combien de temps dois-je attendre pour la livraison ?	Nangalinda ndambi singahi busana noluhabwa?
Le feu qui semble éteint souvent dort sous la cendre ; qui l'ose réveiller peut s'en laisser surprendre.	Omulhir'owakabia ngwalhimire akabya ngalhitho omoribu; oyukalhenga eribukyagho angana yisisiria.
Le voleur s'est enfui sans laisser aucune trace.	Omwibi mwaka yithibithira butsir'erisigha ebiminyikalo.
Ceux qui ont connu une fois l'ivresse du pouvoir et en ont retiré de quelconques émoluments, ne serait-ce que pour un an, ne peuvent jamais l'abandonner de bonne grâce.	Abaminya ngok'obuthabalhi bukathamiraya nababirilusyay'esyo sende, nikiniki omo kirimo kighuma, sibangasighabo nomuthima wosi.
Il est resté coincé au boulot.	Akathathene omo mubiri.
Ils ne croyaient pas nécessaire de fermer leur voiture à clé, mais quand ils sont revenus, leur voiture n'était plus là.	Syaby'akalhengekania nganikya muhungo erikinga engurubani yabo, alhiwe omughulu balyasubula, efwatiri yabo yilwe isiyikiriho.
Arrêtez d'être aussi attardé, bordel !	Lhek'eriyithimbyathimbya, mumbule !
Ce livre est l'équivalent littéraire des bonbons Haribo : on veut juste en goûter un, et on finit par dévorer le paquet tout entier.	Ekithabu eki kilingene nesyo bonbons Haribo : thwanzire ithwaghanza  konguma, nokondulhia ekilope kyosi kikalu kialibwa.
Il n'y a aucune fierté à tirer de la destruction de pratiquement toutes les nations indiennes d'Amérique du Nord.	Sihalhi obutsem'erisosol'omolutsandi'olwebihanda biosi ebye buhindi abanya Amerika eyeyighulu.
Il est midi passé, c'est l'heure d'aller casser la croûte. Je suis passé à la boulangerie tout à l'heure, et j'ai acheté un bon casse-croûte.	Yamabya hakuhi saha ndathu, nanindambi eyeriyalhia. Mongalab'ahalhi eduka yemikate hathia hathia, mongaghulamo akeri toghera.
Croyez ce que vous voulez.	Wangalhengekania ebiowanzire.
Tu peux m'expliquer pourquoi tu as refusé leur offre ?	Wanganambwira ekyalheka iwaghan'omubiri wabo ?
Mangez et buvez autant que vous le voulez.	Mhulhye naghunywe ngoko mwanzire.
Le plus érudit, le plus pervers.	Omufuluwe, yolukalhire kutsibu.
J'ai gâché toute la matinée à vous attendre.	Mongatsyand'emipango yomongyakyayosi ngakulhinda.
Des restes humains furent trouvés au cours de l'excavation.	Eyasighalhira oko mundu mobiasungika omughulu ghomuthakulo.
Le Premier Ministre a repris sa promesse.	Omulhembi'owerimbere mwasubir'omo ndaghane yiwe.
Je croyais tout ce que tu disais.	Indwe nyihirire amaha okobio ulhwe ukabugha.
Passons un appel.	Thubirikire.
Georges Wolinski était un des journalistes tués le 7 janvier 2015 dans les locaux du journal satirique français Charlie Hebdo.	Georges Wolinski abia mughuma gho kobathulangulu abithawa ebiro irinda oko mukera owerimbere mwakawebighonye bibiri erikumi nithanu omobisenge ebye kithulangulu ekyo lutsambo lwe ba franza Charlie hebdo.
Notre pari a porté ses fruits.	Eri paria ryethu ryabirilhetha ebighuma.
Allô, c'est Luca. J'aimerais parler à Ann.	Allo, ni Luca. Nganz'erikanya na Ann.
J'ai cru que tu aimais nager.	Mongalhengekanaya indimbino wanzir'eritsíha.
